season,player_id,player_name,nationality,batting_type,bowling_type,matches,total_runs,total_balls_faced,total_wickets,total_overs,total_runs_conceded,total_mvp,mvp_std,batting_avg,true_strike_rate,bowling_avg,economy,consistency_score
2020/21,3639,Brandon King,West Indies,Right-hand bat,None,3,24,18,0,0.0,0,39.1854,11.33304009169649,8.0,133.33333333333331,inf,0.0,8.823757719984433
2020/21,3641,Ben Dwarshuis,Australia,Left-hand bat,Left-arm fast-medium,13,42,32,24,44.9,403,555.5038571428571,30.243164327289136,3.230769230769231,131.25,16.791666666666668,8.975501113585747,3.306532309840594
2020/21,3647,Shreyas Iyer,India,Right-hand bat,Right-arm offbreak,6,133,89,0,0.0,0,244.37580000000003,43.38060337722379,22.166666666666668,149.43820224719101,inf,0.0,2.3051777111173886
2020/21,3661,Minod Bhanuka,Sri Lanka,Left-hand bat,Right-arm medium,6,121,112,0,0.0,0,188.2851,19.399922415695375,20.166666666666668,108.03571428571428,inf,0.0,5.154659789726566
2020/21,3664,Binura Fernando,Sri Lanka,Right-hand bat,Left-arm medium-fast,4,19,21,2,13.1,142,59.90381428571428,30.414387198120462,4.75,90.47619047619048,71.0,10.83969465648855,3.2879176341313814
2020/21,3672,Kusal Mendis,Sri Lanka,Right-hand bat,Right-arm Leg-Break,8,263,188,0,0.1,0,459.50050000000005,40.66704688705719,32.875,139.8936170212766,inf,0.0,2.458993402636922
2020/21,3673,Ramesh Mendis,Sri Lanka,Right-hand bat,Right-arm offbreak,6,49,25,6,17.0,120,251.7423,30.898224483212623,8.166666666666666,196.0,20.0,7.0588235294117645,3.2364319203626475
2020/21,3697,Kyle Jamieson,New Zealand,Right-hand bat,Right-arm medium,8,41,27,4,28.4,281,161.6952,23.631702178862955,5.125,151.85185185185185,70.25,9.8943661971831,4.23160376866308
2020/21,3700,Tim Seifert,New Zealand,Right-hand bat,Right-arm offbreak,9,238,195,0,0.0,0,439.55350000000004,43.60584474298651,26.444444444444443,122.05128205128206,inf,0.0,2.2932705601600305
2020/21,3724,James Bazley,Australia,Right-hand bat,Right-arm medium,7,94,65,3,12.0,94,204.14553333333333,35.763098143046925,13.428571428571429,144.6153846153846,31.333333333333332,7.833333333333333,2.796178328846547
2020/21,3727,Matthew Short,Australia,Right-hand bat,Right-arm offbreak,5,37,38,0,2.0,17,67.32900000000001,12.367120840357305,7.4,97.36842105263158,inf,8.5,8.08595640738567
2020/21,3728,Billy Stanlake,Australia,Left-hand bat,Right-arm Fast,12,3,12,12,38.5,324,248.95238095238096,21.65161418362803,0.25,25.0,27.0,8.415584415584416,4.618593290638602
2020/21,3729,Cameron Valente,Australia,Right-hand bat,Right-arm medium,1,1,5,1,4.0,36,16.2,,1.0,20.0,36.0,9.0,0.0
2020/21,3737,Zahid Mahmood,Pakistan,Right-hand bat,Right-arm Leg-Break,1,0,0,3,4.0,40,58.0,,0.0,0.0,13.333333333333334,10.0,0.0
2020/21,3945,Beau Webster,Australia,Right-hand bat,Right-arm Fast,12,160,128,1,16.0,109,315.3179333333334,33.132389704039916,13.333333333333334,125.0,109.0,6.8125,3.018194609361568
2020/21,3982,Asela Gunaratne,Sri Lanka,Right-hand bat,Right-arm medium-fast,8,168,119,9,26.0,195,469.7676666666667,36.00173636275855,21.0,141.1764705882353,21.666666666666668,7.5,2.7776438056316497
2020/21,3986,Matthew Renshaw,Australia,Left-hand bat,Right-arm offbreak,14,207,193,0,6.0,59,265.0749,19.39827494258103,14.785714285714286,107.25388601036269,inf,9.833333333333334,5.1550975690364425
2020/21,3995,Donald Tiripano,Zimbabwe,Right-hand bat,Right-arm fast-medium,2,43,39,0,4.0,35,43.371599999999994,19.020889571205654,21.5,110.25641025641026,inf,8.75,5.257377664995372
2020/21,4009,Janneman Malan,South Africa,Right-hand bat,Right-arm Leg-Break,3,75,48,0,0.0,0,133.63819999999998,34.001313546587184,25.0,156.25,inf,0.0,2.9410628463804542
